m,m/s,km/h,min/km
3402.9,3.1,11.16,5.38
3405.9,3.2,11.52,5.21
3409.3,3.2,11.52,5.21
3412.8,3.3,11.88,5.05
3415.8,3.3,11.88,5.05
3421.7,3.2,11.52,5.21
3427.8,3.0,10.8,5.56
3433.7,3.0,10.8,5.56
3439.2,2.9,10.44,5.75
3442.5,2.9,10.44,5.75
3448.5,3.0,10.8,5.56
3451.6,3.0,10.8,5.56
3457.1,2.9,10.44,5.75
3462.6,2.8,10.08,5.95
3468.6,2.8,10.08,5.95
3474.3,2.9,10.44,5.75
3478.7,2.7,9.72,6.17
3483.5,2.5,9.0,6.67
3489.0,2.4,8.64,6.94
3495.3,2.8,10.08,5.95
3501.1,2.9,10.44,5.75
3504.2,3.0,10.8,5.56
3509.7,2.9,10.44,5.75
3516.2,3.0,10.8,5.56
3524.2,4.0,14.4,4.17
3533.7,4.9,17.64,3.4
3538.0,5.7,20.52,2.92
3541.6,5.3,19.08,3.14
3544.8,5.7,20.52,2.92
3550.4,3.3,11.88,5.05
3555.1,2.7,9.72,6.17
3561.0,2.7,9.72,6.17
3564.8,2.9,10.44,5.75
3568.3,3.0,10.8,5.56
3571.9,3.4,12.24,4.9
3575.2,3.3,11.88,5.05
3578.4,3.5,12.6,4.76
3581.7,3.4,12.24,4.9
3588.0,3.2,11.52,5.21
3591.0,3.2,11.52,5.21
3596.3,2.9,10.44,5.75
3601.7,2.7,9.72,6.17
3607.8,2.8,10.08,5.95
3610.9,2.9,10.44,5.75
3614.0,2.9,10.44,5.75
3619.7,3.0,10.8,5.56
3622.7,3.0,10.8,5.56
3625.9,3.0,10.8,5.56
3629.2,3.0,10.8,5.56
3635.0,3.1,11.16,5.38
3638.3,3.1,11.16,5.38
3643.9,2.9,10.44,5.75
3649.1,2.8,10.08,5.95
3653.3,2.5,9.0,6.67
3657.4,2.3,8.28,7.25
3661.3,1.6,5.76,10.42
3664.8,0.5,1.8,33.33
3667.9,0.3,1.08,55.56
3672.3,0.5,1.8,33.33
3677.6,0.8,2.88,20.83
3682.7,2.5,9.0,6.67
3687.5,2.5,9.0,6.67
3691.0,2.7,9.72,6.17
