Nr,Destination,Prefix,Zone,Mobile,Cost
3940,"Latvia, Special Services",37178519,7,,0.47
3941,"Latvia, Special Services",371787,7,,0.47
3942,"Latvia, Special Services",3717880,7,,0.47
3943,"Latvia, Special Services",3717891,7,,0.47
3944,"Latvia, Special Services",371810,7,,0.47
3945,"Latvia, mobile",3718501,4,1,0.95
3946,"Latvia, mobile",3718502,4,1,0.95
3947,"Latvia, Special Services",37190,7,,0.47
3948,Estonia,372,4,,0.75
3949,"Estonia, mobile",3725,4,1,0.95
3950,"Estonia, mobile",37250,4,1,0.95
3951,"Estonia, mobile",37251,4,1,0.95
3952,"Estonia, mobile",37252,4,1,0.95
3953,"Estonia, mobile",37253,4,1,0.95
3954,"Estonia, mobile",37256,4,1,0.95
3955,"Estonia, mobile",37259,4,1,0.95
3956,"Estonia, Special Services",37270,7,,0.33
3957,"Estonia, mobile",37281,4,1,0.95
3958,"Estonia, mobile",37282,4,1,0.95
3959,Moldova,373,4,,0.75
3960,"Moldova, Pridnestrovie",37321,4,,0.75
3961,"Moldova, Pridnestrovie",37328,4,,0.75
3962,"Moldova, Special Services",37330,7,,0.19
3963,"Moldova, Special Services",37338,7,,0.19
3964,"Moldova, Pridnestrovie",3735,4,,0.75
3965,"Moldova, mobile",3736,4,1,0.95
3966,"Moldova, mobile Orange",37360,4,1,0.95
3967,"Moldova, mobile Moldtelecom",373671,4,1,0.95
3968,"Moldova, mobile Moldtelecom",373672,4,1,0.95
3969,"Moldova, mobile Moldtelecom",373673,4,1,0.95
3970,"Moldova, mobile Moldtelecom",373674,4,1,0.95
3971,"Moldova, mobile Moldtelecom",373675,4,1,0.95
3972,"Moldova, mobile Moldtelecom",373676,4,1,0.95
3973,"Moldova, mobile Orange",37368,4,1,0.95
3974,"Moldova, mobile Orange",37369,4,1,0.95
3975,"Moldova, mobile",3737,4,1,0.95
3976,"Moldova, mobile Priednestrovie",37377,4,1,0.95
3977,"Moldova, mobile Moldcell",37378,4,1,0.95
3978,"Moldova, mobile Moldcell",37379,4,1,0.95
3979,"Moldova, Special Services",373900,7,,0.19
3980,"Moldova, Special Services",373905,7,,0.19
3981,"Moldova, Special Services",373906,7,,0.19
3982,Armenia,374,4,,0.75
3983,Armenia,3741,4,,0.75
3984,Armenia other,37447,4,,0.75
3985,"Armenia, mobile",37455,4,1,0.95
3986,"Armenia, mobile",37477,4,1,0.95
3987,"Armenia, mobile",3749,4,1,0.95
3988,Belarus,375,4,,0.75
3989,Belarus,375172,4,,0.75
3990,Belarus,375175,4,,0.75
3991,"Belarus, mobile",37525,4,1,0.95
3992,"Belarus, mobile",37529,4,1,0.95
3993,"Belarus, mobile",37533,4,1,0.95
3994,"Belarus, mobile",37544,4,1,0.95
3995,"Belarus, mobile",375602,4,1,0.95
3996,Andorra,376,2,,0.20
3997,"Andorra, mobile",3763,2,1,0.40
3998,"Andorra, mobile",3764,2,1,0.40
3999,"Andorra, mobile",3765,2,1,0.40
4000,"Andorra, mobile",3766,2,1,0.40
4001,Monaco,377,3,,0.30
4002,"Monaco, mobile",3774,3,1,0.50
4003,"Monaco, mobile",37744,3,1,0.50
4004,"Monaco, mobile",37745,3,1,0.50
4005,"Monaco, mobile",37747,3,1,0.50
4006,"Monaco, mobile",3776,3,1,0.50
4007,San Marino,378,2,,0.20
4008,"San Marino, mobile",3786,2,1,0.40
4009,"San Marino, Special Services",3787,7,,0.96
4010,"San Marino, Special Services",37877,7,,0.96
4011,Vatican City,379,1,,0.05
4012,Ukraine,380,3,,0.30
4013,"Ukraine, Lviv",380322,3,,0.30
4014,"Ukraine, mobile Golden Telecom",38039,3,1,0.50
4015,"Ukraine, Kiev",38044,3,,0.30
4016,"Ukraine, Odessa",38048,3,,0.30
4017,"Ukraine, mobile UMC",38050,3,1,0.50
4018,"Ukraine, mobile Astelit",38063,3,1,0.50
4019,"Ukraine, mobile UMC",38066,3,1,0.50
4020,"Ukraine, mobile Kyivstar",38067,3,1,0.50
